AID	ELYEAR1	ELYEAR2	ELYEAR3	ELYEAR4	ELYEAR5	ELYEAR6	ELMAT945	ELGLV945	ELY1NINE	EAMSQ1	EAMSQ2	EAMSQ3	EAMSQ4	EAMSQ5	EAMSQ6	EAMSQH	EAMSQB1	EAMSQB2	EAMSQB3	EAMSQB4	EAMSQB5	EAMSQB6	EAMSQBH	EASSQ1	EASSQ2	EASSQ3	EASSQ4	EASSQ5	EASSQ6	EASSQH	EASSQB1	EASSQB2	EASSQB3	EASSQB4	EASSQB5	EASSQB6	EASSQBH	EAMGPA1	EAMGPA2	EAMGPA3	EAMGPA4	EAMGPA5	EAMGPA6	EAMGPAC	EASGPA1	EASGPA2	EASGPA3	EASGPA4	EASGPA5	EASGPA6	EASGPAC	EAOGPA1	EAOGPA2	EAOGPA3	EAOGPA4	EAOGPA5	EAOGPA6	EAOGPAC	EAMFIX1	EAMFIX2	EAMFIX3	EAMFIX4	EAMFIX5	EAMFIX6	EAMFIXC	EASFIX1	EASFIX2	EASFIX3	EASFIX4	EASFIX5	EASFIX6	EASFIXC	EAOFIX1	EAOFIX2	EAOFIX3	EAOFIX4	EAOFIX5	EAOFIX6	EAOFIXC
97574419	1994	1995	1996	1997	9992	9992	1	9	1	4	5	6	7	9992	9992	7	4	0	6	7	9992	9992	7	2	2	3	4	9992	9992	4	2	2	3	0	9992	9992	3	1.5	0	.667	1.5	9992	9992	.889	.5	1	2	1	9992	9992	1	1.462	1.5	1.417	1.75	9992	9992	1.529	0	1	.667	0	9992	9992	.444	.5	.5	0	.333	9992	9992	.375	.154	.357	.333	.25	9992	9992	.275
97574433	1992	1993	1994	9992	9992	9992	3	11	1	4	4	5	9992	9992	9992	5	4	4	5	9992	9992	9992	5	2	3	4	9992	9992	9992	4	2	3	4	9992	9992	9992	4	2	2	1	9992	9992	9992	1.667	1	1	2	9992	9992	9992	1.333	2.286	1.875	1.429	9992	9992	9992	1.864	0	0	0	9992	9992	9992	0	0	0	0	9992	9992	9992	0	0	.063	.143	9992	9992	9992	.068
97574490	1993	1994	1995	1996	9992	9992	2	10	1	0	4	0	4	9992	9992	4	0	4	0	4	9992	9992	4	2	0	2	0	9992	9992	2	2	0	2	0	9992	9992	2	9994	2	9994	3.5	9992	9992	2.75	1	9994	2.5	9994	9992	9992	1.75	2.8	2.545	1.9	1.8	9992	9992	2.268	9994	0	9994	0	9992	9992	0	0	9994	0	9994	9992	9992	0	0	0	0	0	9992	9992	0
97574498	1993	1994	1995	1996	9992	9992	2	10	1	4	4	0	0	9992	9992	4	4	4	0	0	9992	9992	4	3	4	0	0	9992	9992	4	3	4	0	0	9992	9992	4	2	2	9994	9994	9992	9992	2	2.5	1	9994	9994	9992	9992	1.75	2.5	2.308	2.625	2	9992	9992	2.366	0	0	9994	9994	9992	9992	0	0	0	9994	9994	9992	9992	0	0	0	0	0	9992	9992	0
97574649	1990	1991	1992	1993	9992	9992	9994	9994	1	2	2	3	0	9992	9992	3	2	0	3	0	9992	9992	3	2	2	2	0	9992	9992	2	2	2	2	0	9992	9992	2	1.5	9995	3	9994	9992	9992	2.25	2	1.5	1.5	9994	9992	9992	1.6	1.786	1.692	1.5	2.444	9992	9992	1.826	0	9995	0	9994	9992	9992	0	0	0	0	9994	9992	9992	0	.071	0	.1	0	9992	9992	.043
97574703	1993	1994	1995	1996	9992	9992	2	10	1	4	5	8	8	9992	9992	8	4	5	8	0	9992	9992	8	3	4	6	0	9992	9992	6	3	4	6	0	9992	9992	6	2.5	3	1.5	0	9992	9992	2	2	1.5	1.5	9994	9992	9992	1.714	2.385	2.4	2.375	1.417	9992	9992	2.179	0	0	.5	1	9992	9992	.286	.333	0	0	9994	9992	9992	.143	.077	.067	.188	.25	9992	9992	.143
97574707	1992	1993	1994	1995	9992	9992	3	11	1	4	5	8	8	9992	9992	8	4	5	8	8	9992	9992	8	3	4	5	0	9992	9992	5	3	4	5	0	9992	9992	5	3	2.5	2	2	9992	9992	2.375	3	3	2	9994	9992	9992	2.667	3.267	2.933	2.667	2.583	9992	9992	2.889	0	0	0	0	9992	9992	0	0	0	0	9994	9992	9992	0	0	0	0	0	9992	9992	0
97574739	1992	1993	9992	9992	9992	9992	9994	9994	1	3	3	9992	9992	9992	9992	3	0	3	9992	9992	9992	9992	3	2	2	9992	9992	9992	9992	2	0	2	9992	9992	9992	9992	2	0	0	9992	9992	9992	9992	0	0	2	9992	9992	9992	9992	1	.429	.889	9992	9992	9992	9992	.688	1	1	9992	9992	9992	9992	1	1	0	9992	9992	9992	9992	.5	.857	.556	9992	9992	9992	9992	.688
97574815	1992	1993	1994	1995	9992	9992	3	10	1	4	5	6	0	9992	9992	6	4	0	6	0	9992	9992	6	3	6	5	0	9992	9992	6	3	0	5	0	9992	9992	5	1.333	0	1.5	9994	9992	9992	1.111	2	.75	1.5	9994	9992	9992	1.25	1.733	.429	1.125	2	9992	9992	1.322	.333	1	0	9994	9992	9992	.333	0	.5	0	9994	9992	9992	.25	.2	.643	.313	0	9992	9992	.288
97574835	1992	1993	1994	1995	1996	1997	3	11	1	4	5	6	0	9992	0	6	4	5	6	0	9992	0	6	3	3	0	0	9992	0	3	3	3	0	0	9992	0	3	1	2.5	1	9994	9992	9994	1.75	2	2	9994	9994	9992	9994	2	2.25	2.526	2.625	.333	9992	2.5	2.277	0	0	0	9994	9992	9994	0	0	0	9994	9994	9992	9994	0	0	0	0	.667	9992	0	.062
