AID	RRELNO	H3TR1	H3TR2	H3TR3	H3TR4	H3TR5	PAGE	H3TR6	H3TR7	H3TR8	H3TR9	H3TR10	H3TR11	H3TR12	H3TR13	H3TR14	SXORDER	CP
57177419	1	0	1	2	3	97	21	4	0	0	0	97	0	0	0	0	 	 
57177419	2	1	1	2	1	5	26	4	0	0	0	97	0	0	0	0	 	 
57177942	1	0	1	2	2	1	22	4	0	1	0	97	2	0	0	0	2	 
57177942	2	0	1	2	2	2	21	4	0	1	0	97	2	0	0	0	1	 
57178110	1	1	1	2	2	1	19	4	0	1	1	1	1	0	0	0	1	 
57178982	1	0	0	2	2	1	20	5	1	0	0	97	0	9	0	0	 	 
57179591	1	1	1	1	1	2	22	4	0	1	0	97	1	1	0	0	1	 
57186150	1	0	1	1	1	1	23	4	0	1	0	97	0	0	0	1	5	 
57186150	2	0	0	1	3	97	22	4	0	1	0	97	0	0	0	0	4	 
57186150	3	0	1	1	1	1	23	4	0	1	0	97	0	0	0	1	2	 
57186150	4	0	0	1	2	1	21	4	0	1	0	97	0	0	0	0	3	 
57186150	5	1	1	1	1	2	24	4	0	1	0	97	1	0	0	0	1	 
57191424	1	1	0	2	2	1	19	4	0	1	0	97	0	0	0	0	1	 
57191909	1	1	1	1	3	97	24	4	0	1	1	3	1	1	0	1	1	3
57191909	2	0	1	1	1	2	26	4	0	1	1	1	0	0	0	0	2	 
57192841	1	0	1	1	3	97	21	4	0	0	0	97	0	0	0	1	 	 
57192841	2	0	1	1	3	97	21	4	0	1	0	97	0	0	0	1	2	 
57192841	3	1	1	1	1	4	25	4	0	1	0	97	0	0	0	0	1	 
57192841	4	0	1	1	3	97	21	4	0	0	0	97	0	0	0	1	 	 
57196641	1	0	1	2	1	1	24	1	0	1	0	97	0	0	0	1	12	 
57196641	2	0	0	2	2	2	21	4	0	1	0	97	0	0	0	0	11	 
57196641	3	0	0	2	2	1	22	5	1	1	0	97	0	0	0	1	3	 
57196641	4	0	1	2	2	1	22	4	0	1	0	97	0	0	0	0	10	 
57196641	5	1	1	2	2	2	21	5	1	1	0	97	0	0	0	0	1	 
57196641	6	0	1	2	2	1	22	5	1	1	0	97	0	0	0	0	4	 
57196641	7	0	1	2	2	3	20	4	0	1	0	97	2	0	0	0	2	 
57196641	8	0	0	2	1	2	25	5	1	1	0	97	0	0	0	0	8	 
57196641	9	0	0	2	2	2	21	4	0	1	0	97	0	0	0	0	7	 
57196641	10	0	0	2	2	3	20	4	0	1	0	97	0	0	0	0	9	 
57196641	11	0	1	2	2	1	22	4	0	1	0	97	0	0	0	0	5	 
57196641	12	0	1	2	1	9	32	4	0	1	0	97	0	0	0	0	6	 
57199320	1	1	1	2	2	2	20	3	0	1	1	1	0	0	0	0	1	1
57199320	2	0	1	2	2	1	21	3	0	1	0	97	0	0	0	0	3	 
57199320	3	0	0	2	1	3	25	4	0	1	0	97	0	0	0	0	4	 
57199320	4	0	0	2	2	2	20	3	0	1	0	97	0	0	0	0	5	 
57199320	5	0	0	2	2	1	21	3	0	1	0	97	0	0	0	0	6	 
57199320	6	0	0	2	1	2	24	3	0	1	0	97	0	0	0	0	7	 
57199320	7	1	1	2	2	2	20	3	0	1	0	97	0	0	0	0	2	 
57199896	1	0	1	1	1	2	23	3	0	1	0	97	0	0	0	0	1	 
57200870	1	0	1	1	1	10	34	4	0	1	1	1	2	0	0	0	4	 
57200870	2	0	1	1	1	4	28	4	0	1	1	1	2	0	0	0	3	 
57200870	3	0	1	1	1	1	25	4	0	1	0	97	2	0	0	0	2	 
57200870	4	0	1	1	1	6	30	4	0	1	0	97	2	0	0	0	1	 
57201771	1	1	1	2	2	2	21	3	0	1	0	97	0	0	0	0	1	 
57203993	1	0	1	2	1	1	22	3	0	1	0	97	0	0	0	0	1	 
57203993	2	0	0	2	2	2	19	4	0	1	0	97	0	0	0	0	2	 
57203993	3	1	1	2	3	97	21	4	0	1	0	97	0	0	0	0	3	 
57211108	1	1	1	2	2	1	22	4	8	1	1	2	1	1	0	1	1	1
57211108	2	0	0	2	2	3	20	4	0	1	0	97	0	0	0	0	3	 
57211108	3	0	0	2	2	2	21	4	0	1	0	97	0	0	0	0	2	 
57211375	1	0	1	1	1	1	21	4	0	1	0	97	0	0	0	1	4	 
57211375	2	0	1	1	3	97	20	4	0	1	0	97	0	0	0	1	3	 
57211375	3	0	0	1	3	97	20	4	0	0	0	97	0	0	0	1	 	 
57211375	4	0	1	1	3	97	20	4	0	0	0	97	0	0	0	1	 	 
57211375	5	0	0	1	3	97	20	4	0	1	0	97	0	0	0	0	2	 
57211375	6	1	1	1	3	97	20	4	0	1	0	97	2	0	0	1	1	2
57212347	1	1	1	1	1	2	24	4	0	1	1	1	1	0	0	1	1	 
57212679	1	0	1	2	2	3	18	4	0	1	0	97	0	0	0	1	4	 
57212679	2	0	1	2	3	97	21	4	0	1	0	97	0	0	0	0	3	 
57212679	3	0	0	2	2	2	19	4	0	0	0	97	0	0	0	1	 	 
57212679	4	0	0	2	2	1	20	4	0	0	0	97	0	0	0	1	 	 
57212679	5	0	0	2	1	1	22	4	0	0	0	97	0	0	0	1	 	 
57212679	6	0	0	2	2	1	20	4	0	0	0	97	0	0	0	0	 	 
57212679	7	0	1	2	1	1	22	4	1	1	0	97	0	0	0	0	2	 
57212679	8	0	0	2	3	97	21	4	0	1	0	97	0	0	0	1	1	 
57212679	9	0	0	2	3	97	21	4	0	0	0	97	0	0	0	1	 	 
57212679	10	0	0	2	3	97	21	4	0	0	0	97	0	0	0	0	 	 
57214806	1	0	1	1	1	3	26	4	0	1	0	97	2	0	0	0	1	 
57214806	2	0	1	1	1	7	30	4	0	1	0	97	2	0	0	0	3	 
57214806	3	0	1	1	1	17	40	3	0	1	0	97	2	0	0	0	5	 
57214806	4	0	1	1	3	97	23	4	0	1	1	1	2	2	0	1	4	 
57214806	5	0	1	1	1	4	27	4	0	1	0	97	0	0	0	1	6	 
57214806	6	0	0	1	1	2	25	3	0	1	1	1	0	0	0	0	2	 
57214893	1	1	1	2	3	97	22	3	0	1	0	97	0	0	0	0	1	 
57217465	1	1	1	1	1	5	25	1	1	1	1	1	1	1	0	1	1	 
57218874	1	1	1	2	1	5	26	1	0	0	0	97	2	1	0	1	 	1
57220133	1	0	0	2	1	4	26	4	0	1	0	97	0	0	0	0	2	 
57220133	2	0	0	2	1	8	30	4	0	1	0	97	0	0	0	0	1	 
57220133	3	0	0	2	2	3	19	4	0	0	0	97	0	0	0	0	 	 
57220955	1	0	1	1	3	97	22	4	0	1	0	97	0	0	0	1	2	 
57220955	2	1	1	1	2	1	21	4	0	1	0	97	1	0	0	0	1	 
57228523	1	1	1	2	3	97	25	3	0	1	0	97	0	0	0	0	1	 
57230940	1	1	1	2	2	1	18	4	0	1	0	97	0	0	0	1	1	 
57231300	1	0	0	1	1	1	24	4	0	1	0	97	2	0	0	0	3	 
57231300	2	0	0	1	1	1	24	5	0	1	0	97	0	0	0	0	5	 
57231300	3	0	0	1	1	1	24	4	0	1	0	97	0	0	0	0	7	 
57231300	4	0	0	1	1	1	24	4	0	1	0	97	0	0	0	0	8	 
57231300	5	0	1	1	3	97	23	4	0	1	0	97	0	0	0	0	1	 
57231300	6	0	0	1	1	1	24	4	0	1	0	97	0	0	0	0	2	 
57231300	7	0	0	1	1	1	24	4	0	1	0	97	0	0	0	1	6	 
57231300	8	0	0	1	1	2	25	4	0	1	0	97	0	0	0	0	4	 
57231300	9	0	1	1	1	1	24	4	0	1	0	97	0	0	0	1	9	 
57232895	1	0	1	2	1	1	24	4	0	1	0	97	0	0	0	0	2	 
57232895	2	0	1	2	2	1	22	4	0	1	0	97	0	0	0	0	1	 
57232895	3	0	1	2	3	97	23	4	0	1	0	97	0	0	0	1	3	 
57233403	1	0	1	2	3	97	23	4	0	1	1	2	2	1	0	0	2	 
57233403	2	1	1	2	2	2	21	4	0	1	0	97	1	0	0	0	1	 
57234514	1	1	1	1	2	2	21	4	0	1	1	2	1	1	0	1	1	2
57235039	1	0	1	1	3	97	24	4	0	1	1	1	0	0	0	1	5	 
57235039	2	0	0	1	1	1	25	4	0	1	0	97	0	0	0	1	4	 
57235039	3	0	1	1	1	5	29	4	0	1	0	97	2	0	0	0	1	 
57235039	4	0	0	1	1	4	28	4	0	1	0	97	0	0	0	0	3	 
57235039	5	0	0	2	2	1	23	4	0	1	0	97	0	0	0	0	2	 
57239363	1	0	1	2	3	97	22	4	0	1	0	97	9	9	0	1	1	 
57239974	1	0	1	1	1	4	24	4	0	1	0	97	0	0	0	1	3	 
57239974	2	0	0	1	1	1	21	4	0	1	0	97	0	0	0	1	2	 
57239974	3	0	1	1	1	7	27	4	0	1	0	97	0	0	0	0	1	 
57241075	1	0	1	1	1	1	21	1	0	1	0	97	2	0	0	1	2	 
57241075	2	1	1	1	1	3	23	4	0	1	1	1	1	0	0	0	1	 
57241075	3	0	1	1	1	3	23	4	0	0	0	97	0	0	0	0	 	 
57242885	1	1	1	1	1	3	27	4	0	1	0	97	1	0	0	0	1	1
57242885	2	0	1	1	1	2	26	4	0	1	0	97	0	0	0	0	2	 
57242885	3	0	0	1	3	97	24	4	0	1	0	97	0	0	0	0	3	 
57242885	4	0	0	1	2	2	22	4	0	1	0	97	0	0	0	0	4	 
57244606	1	0	1	1	1	3	25	3	0	0	0	97	0	0	0	0	 	 
57244606	2	0	1	1	1	11	33	3	0	0	0	97	0	0	0	0	 	 
57244606	3	0	1	1	1	1	23	3	0	0	0	97	0	0	0	0	 	 
57244606	4	0	0	1	1	4	26	2	0	0	0	97	0	0	0	0	 	 
57244606	5	1	1	1	1	3	25	3	0	1	0	97	0	0	0	0	1	 
57245293	1	1	1	2	1	3	24	3	0	1	1	1	1	0	0	0	1	 
57245315	1	0	1	1	1	23	45	3	0	1	1	1	0	0	0	1	2	 
57245315	2	1	1	1	1	24	46	3	0	1	1	1	0	0	0	1	3	1
57245315	3	0	1	1	1	32	54	3	0	1	1	1	0	0	0	0	1	 
57245379	1	0	0	1	3	97	22	4	1	1	0	97	0	0	0	1	6	 
57245379	2	0	1	1	3	97	22	4	0	0	0	97	0	0	0	1	 	 
57245379	3	0	1	1	1	1	23	4	0	1	0	97	0	0	0	1	7	 
57245379	4	0	1	1	1	1	23	4	0	1	0	97	0	0	0	0	2	 
57245379	5	0	0	1	1	3	25	4	0	1	0	97	0	0	0	0	5	 
57245379	6	0	0	1	3	97	22	4	0	1	0	97	0	0	0	0	4	 
57245379	7	0	0	1	1	2	24	4	0	1	1	1	0	0	0	0	3	 
57245379	8	1	1	1	1	1	23	4	0	1	0	97	1	1	0	0	1	1
57245379	9	6	6	1	2	2	20	6	6	1	0	97	6	6	6	6	8	 
57248884	1	0	0	1	2	2	21	1	1	0	0	97	0	0	0	1	 	 
57248884	2	0	0	1	2	3	20	4	0	1	0	97	0	0	0	1	6	 
57248884	3	0	0	1	1	7	30	4	0	1	0	97	2	0	0	0	2	 
57248884	4	0	0	1	1	6	29	4	0	1	0	97	0	0	0	0	4	 
57248884	5	0	0	1	1	6	29	4	0	1	0	97	0	0	0	0	3	 
57248884	6	0	1	1	2	1	22	4	0	1	0	97	0	0	0	1	5	 
57248884	7	1	1	1	3	97	23	4	0	1	1	1	1	0	0	1	1	1
57249576	1	0	1	1	1	5	27	4	0	1	0	97	2	0	0	1	2	 
57249576	2	0	1	1	1	5	27	4	0	1	0	97	0	0	0	0	13	 
57249576	3	0	0	1	1	2	24	4	0	6	0	97	0	0	0	0	 	 
57249576	4	0	0	1	2	1	21	4	0	1	0	97	0	0	0	0	12	 
57249576	5	0	0	1	1	4	26	4	0	1	0	97	0	0	0	0	11	 
57249576	6	0	0	1	1	4	26	4	0	0	0	97	0	0	0	0	 	 
57249576	7	0	0	1	1	3	25	4	0	1	0	97	0	0	0	0	10	 
57249576	8	0	0	1	3	97	22	4	0	1	0	97	0	0	0	0	9	 
57249576	9	0	0	1	1	1	23	4	0	1	0	97	0	0	0	0	8	 
57249576	10	0	0	1	3	97	22	4	0	1	0	97	0	0	0	0	7	 
57249576	11	0	0	1	3	97	22	4	0	1	0	97	0	0	0	0	6	 
57249576	12	0	1	1	3	97	22	4	0	1	0	97	0	0	0	0	5	 
57249576	13	0	0	1	3	97	22	4	0	1	0	97	0	0	0	0	4	 
57249576	14	0	0	1	2	4	18	4	0	6	0	97	0	0	0	0	 	 
57249576	15	0	0	1	2	2	20	4	0	6	0	97	0	0	0	0	 	 
57249576	16	0	0	1	1	5	27	4	0	1	0	97	0	0	0	0	3	 
57249576	17	1	0	1	1	8	30	4	0	1	1	1	0	0	0	0	1	 
57251197	1	0	1	1	1	3	22	3	0	1	1	1	0	0	0	0	4	 
57251197	2	0	1	1	1	1	20	3	0	1	0	97	0	0	0	0	3	 
57251197	3	0	1	1	1	2	21	3	0	1	0	97	0	0	0	0	2	 
57251197	4	1	1	1	1	3	22	3	0	1	0	97	0	0	0	0	1	1
57256290	1	0	1	2	3	97	21	4	0	1	0	97	2	0	0	1	5	 
57256290	2	0	1	2	2	2	19	4	0	1	0	97	0	0	0	0	4	 
57256290	3	0	0	2	3	97	21	4	0	1	0	97	0	0	0	0	2	 
57256290	4	0	0	2	3	97	21	4	0	1	0	97	0	0	0	0	3	 
57256290	5	1	0	2	2	3	18	4	0	1	0	97	0	0	0	0	1	 
57256290	6	0	0	2	3	97	21	4	0	1	0	97	0	0	0	1	6	 
57256290	7	0	0	2	1	1	22	4	1	1	0	97	0	0	0	0	8	 
57256290	8	0	0	2	3	97	21	4	1	1	0	97	0	0	0	0	7	 
57260813	1	1	1	2	2	2	18	4	0	1	0	97	1	0	0	0	1	 
57262270	1	0	0	1	1	1	21	4	0	1	1	1	0	0	0	0	1	 
57263513	1	0	1	2	1	24	46	4	0	1	0	97	0	0	0	1	1	 
57263513	2	0	0	2	1	23	45	4	0	1	0	97	0	0	0	1	3	 
57263513	3	0	1	2	1	28	50	4	0	1	0	97	2	0	0	0	2	 
57263513	4	1	1	2	2	1	21	4	0	1	0	97	1	1	0	1	4	 
57265490	1	1	1	1	1	5	26	3	0	1	0	97	0	0	0	0	2	 
57265490	2	0	1	1	3	97	21	3	0	1	1	1	2	2	0	1	1	 
57272274	1	0	1	1	3	97	21	1	0	1	0	97	0	0	0	0	2	 
57272274	2	0	1	1	1	2	23	1	0	0	0	97	0	0	0	0	 	 
57272274	3	0	0	1	3	97	21	1	0	0	0	97	0	0	0	0	 	 
57272274	4	1	1	1	3	97	21	1	0	1	0	97	0	0	0	0	1	1
57275298	1	0	0	1	1	4	24	3	0	1	0	97	2	0	0	0	3	 
57275298	2	0	1	1	1	19	39	3	0	1	1	1	0	0	0	0	2	 
57275298	3	1	1	1	1	8	28	3	0	1	0	97	0	0	0	0	1	1
57275660	1	0	1	1	1	3	25	4	0	1	0	97	0	0	0	0	6	 
57275660	2	0	0	1	2	1	21	4	0	0	0	97	0	0	0	1	 	 
57275660	3	0	0	1	2	1	21	4	0	1	0	97	0	0	0	1	8	 
57275660	4	0	0	1	3	97	22	3	0	1	0	97	0	0	0	1	7	 
57275660	5	0	1	1	3	97	22	3	0	1	0	97	0	0	0	1	4	 
57275660	6	0	0	1	1	15	37	3	0	1	0	97	0	0	0	0	1	 
57275660	7	0	0	1	1	6	28	3	0	1	0	97	0	0	0	0	5	 
57275660	8	0	1	1	1	5	27	3	0	1	0	97	0	0	0	0	3	 
57275660	9	0	0	1	1	2	24	4	0	1	0	97	0	0	0	0	2	 
57277289	1	1	1	2	3	97	19	3	0	1	0	97	0	0	0	1	3	 
57277289	2	0	0	2	1	1	20	3	0	1	0	97	0	0	0	0	2	 
