AID	CLUSTER2	GSW5	GSW12345	GSW1345	GSW145
90570222	141	556.6392211915	2141.26928711	884.8258667	868.2789917
90570280	143	1046.7875976563	 	1945.814086915	1496.289306641
90570282	143	135.3887634278	201.171707153	173.671127319	144.077529907
90570354	142	2060.9951171875	 	 	 
90570373	150	837.0595703125	 	 	799.452209473
90570412	145	486.3553161622	1665.989257813	1343.620117188	1331.385864258
90570531	147	556.1630249024	1412.590698243	1083.244384766	1016.547058106
90570582	143	176.4509887696	 	281.869323731	242.19317627
90570628	141	335.164001465	1230.73034668	828.632629395	585.631652833
90570655	142	47.1929168701	 	56.441078186	53.957637787
90570697	148	1258.8381347657	 	1332.291870118	1315.90612793
90570720	141	889.6720581055	 	 	 
90570725	141	207.8402709961	 	307.213195801	286.145233155
90570778	150	663.4520874024	643.267883301	667.384948731	573.83178711
90570820	141	1138.4970703125	3827.512451172	2226.060302735	1910.291503907
90570992	148	550.3344116211	660.76739502	777.531799317	619.204650879
90571004	136	864.246459961	1432.266845704	1728.084472657	1023.682434083
90571006	136	797.7028198243	 	 	 
90571069	134	610.1521606446	2709.8359375	1950.997192383	1485.54663086
90571103	136	781.2727050782	1151.485961915	1349.021118165	1036.09716797
90571107	136	223.5295715333	342.95578003	319.251831055	296.468658448
90571171	140	186.3024139405	 	 	 
90571208	136	1509.4150390625	 	 	1114.05456543
90571210	135	779.1237792969	1171.208984375	821.793090821	859.893371583
90571211	135	437.0315856934	 	 	 
90571214	135	344.8399963379	 	 	531.325439453
90571217	135	396.3008728028	468.472625733	402.611938477	377.433410645
90571276	140	353.3959045411	2234.879150391	1226.051879883	723.295837403
90571401	136	437.7074584961	678.671264649	467.926971436	447.081817627
90571402	136	292.7109375	 	481.735626221	462.123229981
90571408	136	374.0637512208	 	 	 
90571418	135	397.6360778809	587.423950196	547.629333496	411.932159424
90571472	140	212.6018829347	491.827545166	425.488677979	396.690795899
90571805	136	176.1438751222	303.697448731	173.606903076	167.233581543
90571816	135	802.7203369141	1687.67175293	1029.867309572	1083.74194336
90571861	134	485.2348327637	 	719.191345215	651.651672364
90571913	135	539.6190795899	 	955.340393067	633.314575196
90571971	140	372.5033874512	 	 	533.440185547
90571979	140	159.2211456299	 	 	229.788986206
90572007	116	344.0981445313	562.799621583	431.368896485	435.47845459
90572049	119	354.6682739258	591.446716309	709.279418946	542.924194336
90572060	114	931.3843994141	 	 	 
90572147	119	496.4343261719	2263.189208985	1649.899658204	861.811401368
90572172	120	708.7014770508	1332.733398438	909.696289063	871.7399292
90572192	118	706.3571166993	 	1073.786132813	845.542358399
90572213	115	796.0017089844	1485.026245118	1038.908691408	921.080627442
90572228	111	378.8262939454	 	 	406.067657471
90572265	114	647.5722045899	855.194763184	823.046081543	788.365844727
90572268	114	1153.7164306641	1476.581054688	1300.751098633	1227.436279297
90572269	114	540.2799072266	617.815612793	534.124511719	586.840820313
90572280	113	175.3191986084	505.700592041	404.83493042	285.32888794
90572282	113	206.3129425049	960.176025391	280.530944824	216.018035889
90572283	113	120.3993988038	189.086547852	175.076599121	153.067825318
