AID	PTWGT3	PTWGT3_2
57245315	 	1753.747813346
57245379	8859.208880081	9252.837993472
57248884	5762.670419928	5246.714841547
57249576	4388.027485378	4113.601427251
57253279	3827.993917826	3660.980349671
57256290	5802.665499639	5351.111088876
57260813	3704.329031715	3632.42126241
57262270	3888.037570493	3191.941148461
57263479	6802.073544951	6123.235310542
57263513	9240.456732571	7645.538680731
57265490	3602.133898822	3089.117296823
57272274	2775.890862382	2677.255410329
57275298	4749.071703591	4392.570943736
57277290	1842.072384848	1590.042049503
57279640	9584.537024071	8933.852202741
57279680	3888.037570493	3191.941148461
88122937	10115.488788005	9207.617652774
88191219	7062.022995556	5806.736114756
88191364	 	6706.169636366
88202138	8917.974078487	7335.016175293
88251811	3490.675497844	3207.115241483
88268811	 	9671.191684595
90316053	5420.771326279	4951.604614711
90316656	7204.41886798	6494.233106961
90500059	6453.343692882	5713.235148061
90500217	 	7380.189281246
90500459	429.193844184	374.730001894
90500516	 	6679.238078854
90500633	7537.580057553	6386.417948036
90500914	 	1361.714433125
90503807	5696.288615459	5529.971786957
90504104	 	1156.869137632
90504142	 	5455.397135828
90504220	7542.642923531	6896.436083201
90504248	 	7463.981190387
90504500	1581.211121225	1156.869137632
90504504	1191.167151867	992.798810282
90504603	1747.577811193	1500.553919677
90506040	2526.705043446	2402.84032862
90506094	6022.621242848	5362.652625543
90506203	4597.921456093	4139.46634458
90506236	4235.969696828	4031.402698754
90506268	5802.665499639	5351.111088876
90506285	7900.746747675	7165.135938567
90506286	 	5967.185567215
90506372	 	5229.890398235
90506428	5342.265473079	4818.362769858
90506472	 	5714.758585697
90506828	5342.265473079	4818.362769858
90506849	2951.514814901	2934.775795971
90506896	 	719.488607785
90508033	 	4781.845256359
90508165	3578.508289992	3220.543674517
90508577	16894.835220544	16193.811983483
90543102	 	5262.748515301
90543104	5530.748552225	5483.118401389
90544204	1373.390504021	1062.383239895
90546223	4442.324546748	4087.373614064
90548078	24124.242548127	22875.135290907
90570080	 	11550.298952149
90570184	 	7751.263255873
90570190	6120.168388163	5023.806102973
90570222	3281.742808491	3217.645267455
90570280	 	12190.279039239
90570412	6455.914213515	5924.17886907
90570536	6448.131941129	5967.960963494
90570582	 	1995.906944099
90570626	7288.487614906	10451.307077627
90570655	 	494.225335215
90570720	3400.026475227	3498.613519995
90570725	 	3478.237630123
90570778	8859.208880081	9252.837993472
90570892	 	5319.960455436
90571004	4027.817259399	3655.711618737
90571069	5225.55184299	4966.06937828
90571074	 	11406.468654388
90571103	4603.29206899	4043.069368415
90571171	690.456704888	703.658639569
90571210	6471.897416781	6138.402180822
90571211	 	4148.580552373
90571217	3368.449176782	3189.111040728
90571276	3776.319938179	3358.577747597
90571315	4691.153111113	4148.580552373
90571319	3272.421695473	2970.397506987
90571401	2711.015311727	2494.963255859
90571402	 	3711.004841533
90571418	3663.487003755	3297.555870033
90571461	7305.463173365	6853.196830354
90571472	3070.204200757	2635.379460652
90571805	3135.689148874	2832.85458329
90571807	4268.14569499	3884.088788516
90571816	3368.449176782	3189.111040728
90571861	 	7965.240131429
90571913	 	3400.575420372
90571914	3862.896436321	3705.263176677
90572007	6011.421988903	5603.479112431
90572049	10628.324248956	8475.142292107
90572070	7953.825538946	7200.467238411
90572147	10934.776028348	8763.732938241
90572169	5807.675644786	5731.859639295
90572172	5256.746946591	4908.352318692
90572177	 	5607.297438784
90572198	2715.124282669	2705.825538497
90572213	3811.303373034	3777.627969974
90572265	5367.143457664	5191.800119963
90572268	4645.110704535	4650.398032463
90572269	4605.013192643	4659.220881615
90572280	1142.539370909	1136.508590882
90572282	1033.462208082	844.887466873
90572283	1082.900150774	1038.98000462
90572285	1055.378455082	844.822658628
90572303	6011.421988903	5603.479112431
90572323	 	3448.699250279
90572325	4959.627658258	4576.69550138
90572341	8606.929314038	6235.679864236
90572369	4188.559833818	3968.241498084
90572383	1073.451047713	888.896358436
90572384	1789.764553675	1780.933045159
90572389	1609.417644091	1266.38508592
90572393	2691.171504669	2648.209450046
90572448	 	6442.735407589
90572469	4645.110704535	4650.398032463
90572862	5819.467623484	5644.015902859
90572900	5988.301695828	5336.746360491
90572909	7684.984272196	6953.218287996
90572925	4946.513073204	4751.729896085
90572974	5937.996164672	5470.332425363
90572983	 	1249.05400387
90572984	 	1167.165377013
90572986	1868.213677932	1635.200061899
90572991	2715.124282669	2705.825538497
90572998	2635.285979309	2648.412600145
90573011	3629.894986279	3302.877743997
90573194	 	6303.615253835
90573212	5738.697145708	5334.203284416
90573491	6963.016278358	6043.925827012
90573618	4920.014219412	4468.798558208
90573818	5943.718060186	5586.700194891
90573897	7750.399781749	6301.314894414
90573940	3863.87599596	4448.20806596
90573954	3927.907895499	2982.183731534
90573956	4621.905670504	3926.035059709
90573959	4746.792940139	3822.227333473
90573992	 	7448.773069205
90574133	7122.551440721	6621.881053169
90574197	 	9480.3108636
90574204	8522.526192405	7103.247001423
90574205	7825.191290666	7469.630357084
90574307	 	955.239089455
90574335	6244.252234702	5718.159095257
90574392	10901.587868083	10741.830301223
90574415	10502.858041458	9445.8695338
90574489	7487.221185573	7117.187451555
90574494	 	11938.766489927
90574503	8904.723515572	8628.398302009
90574538	4221.569085209	4612.267790051
90574805	1049.065830457	824.822050763
90574890	7695.069022262	7204.053134999
90574918	3203.884719109	2678.950060775
90574935	 	2243.874094838
90574992	 	6542.768242747
90575009	3874.11267081	3794.947194356
90575027	 	2654.842215932
90575039	 	4310.911431704
90575111	5976.045145157	5641.428209927
90575118	 	7109.243701448
90575126	 	1826.051523676
90575131	4357.861833532	3704.091196527
90575158	4712.228339205	4344.204857374
90575167	5480.915814679	5174.022790349
90575207	4915.140555691	4855.538917024
90575216	5608.95120463	5160.806887686
90575229	2975.204832722	2926.968381698
90575250	3830.606911718	3811.703078873
90575263	6267.119947959	5590.045728809
90575288	 	8453.124526968
90575333	6143.907695286	4887.848197077
90575354	7366.801431974	7371.4047178
90575378	7122.915712914	5931.193808475
90575623	 	3109.973648884
90575834	5611.308995066	3732.951144808
90575871	7060.41692121	5834.042367875
90575873	1938.996608992	1331.846395652
90575919	4349.110688176	4062.62194982
90575931	4790.748270192	3980.803689581
90575940	1958.500196513	1618.529918218
90575946	1699.473976556	1468.985937803
90575948	 	1884.13418529
90575950	7366.801431974	7371.4047178
90575966	 	8127.312316321
90575975	 	7272.551520579
90575978	6222.647966808	5259.630738921
90575982	3849.801860262	3484.865995663
90575991	2774.95935242	2690.250091038
90576026	6571.899731236	5917.399011195
90576057	 	6422.96974468
90576117	 	3473.993373862
90576119	5901.632329781	5365.558391074
90576142	2227.980989814	2140.190688261
90576148	2951.514814901	2934.775795971
