AID	AH_RAW	PVTPCT3	PVTSTD3C	PVTSTD3L	PVTPCT1C	PVTPCT1L	PVTSTD1
98716229	81	85	114	115	54	53	100
98716251	76	68	107	109	98	98	122
98716390	79	79	111	113	61	60	104
98716423	73	50	103	105	60	59	104
98716827	62	23	89	91	69	68	107
98716897	77	71	108	110	56	55	102
98716976	82	88	115	116	88	87	117
98716978	83	91	116	118	94	94	121
98717152	69	38	98	100	20	19	87
98717163	75	63	106	107	90	90	118
98717259	996	996	996	996	74	 	110
98717263	74	56	104	106	46	45	97
98717960	996	996	996	996	0	 	46
98718108	76	68	107	109	98	98	129
98718112	77	71	108	110	42	41	95
98718119	75	63	106	107	56	54	100
98718174	76	68	107	109	80	79	113
98718202	85	96	119	120	95	95	122
98718204	77	71	108	110	34	33	92
98718206	61	20	87	90	29	28	90
98718248	76	68	107	109	98	98	127
98718269	69	38	98	100	34	33	92
98718270	58	13	83	86	6	6	83
98718293	51	4	74	77	2	2	65
98718297	55	8	79	82	6	5	81
98718821	76	68	107	109	79	78	113
98718910	65	30	93	95	42	41	95
98718912	78	75	110	111	41	40	95
98718918	69	38	98	100	32	31	92
98718974	77	71	108	110	60	59	103
98718987	54	7	78	81	10	9	82
98718989	80	82	112	114	49	48	99
98718998	57	11	82	84	18	17	86
98719270	70	39	99	101	63	62	106
98719277	82	88	115	116	81	80	113
98719932	61	20	87	90	16	15	86
98719935	65	30	93	95	 	 	 
99316152	76	68	107	109	52	51	101
99374970	996	996	996	996	57	 	101
99374972	78	75	110	111	59	58	103
99374973	77	71	108	110	45	43	97
99374974	85	96	119	120	95	95	121
99500010	77	71	108	110	6	5	76
99500087	77	71	108	110	84	83	114
99500115	50	3	73	75	4	4	71
99500139	54	7	78	81	 	 	 
99500183	76	68	107	109	43	42	98
99500228	64	28	91	93	14	13	88
99500238	64	28	91	93	45	44	98
99500276	84	94	118	119	71	70	108
99500417	76	68	107	109	72	71	108
99500530	81	85	114	115	70	68	107
99500813	64	28	91	93	4	4	71
99500857	52	5	75	78	8	8	79
99503707	79	79	111	113	79	78	112
99503801	996	996	996	996	76	 	111
99503838	74	56	104	106	83	82	114
99504049	74	56	104	106	66	65	107
99504100	77	71	108	110	62	61	104
99504105	81	85	114	115	84	83	114
99504144	69	38	98	100	 	 	 
99504205	83	91	116	118	90	89	118
99504206	76	68	107	109	75	75	111
99504222	87	100	122	123	83	82	114
99504420	85	96	119	120	43	41	97
99504424	67	35	95	97	43	42	97
99504520	72	45	102	104	 	 	 
99504703	85	96	119	120	99	99	129
99504720	83	91	116	118	47	46	99
99504849	54	7	78	81	10	9	80
99504905	81	85	114	115	98	98	127
99504999	77	71	108	110	73	72	109
99506026	79	79	111	113	64	62	105
99506149	67	35	95	97	28	27	92
99506263	86	98	120	121	97	97	127
99506266	76	68	107	109	78	77	112
99506342	67	35	95	97	16	15	87
99506360	86	98	120	121	79	77	111
99506487	74	56	104	106	60	59	104
99506495	69	38	98	100	 	 	 
99506578	85	96	119	120	77	76	111
99506935	78	75	110	111	98	98	126
99506981	64	28	91	93	66	65	107
99507018	69	38	98	100	 	 	 
99507057	64	28	91	93	6	6	79
99507059	75	63	106	107	52	51	101
99507351	76	68	107	109	59	58	104
99507853	58	13	83	86	22	20	88
99507857	58	13	83	86	71	70	107
99507859	58	13	83	86	25	24	89
99507981	42	1	62	65	5	4	73
99507986	61	20	87	90	25	24	89
99508077	77	71	108	110	77	76	111
99508120	66	33	94	96	89	88	117
99508327	60	17	86	88	61	60	104
99508430	63	25	90	92	27	26	92
99508537	75	63	106	107	79	78	112
99508568	76	68	107	109	34	32	94
99508721	58	13	83	86	15	14	85
99508738	80	82	112	114	84	84	115
99508822	75	63	106	107	90	89	119
99508928	61	20	87	90	35	33	95
99540917	78	75	110	111	60	59	104
99543509	52	5	75	78	10	9	81
99543908	2	0	10	11	5	5	75
99544087	85	96	119	120	90	90	119
99544202	81	85	114	115	96	96	126
99544902	71	41	100	102	51	50	100
99546678	72	45	102	104	59	58	104
99570022	85	96	119	120	 	 	 
99570091	75	63	106	107	84	83	115
99570170	58	13	83	86	34	32	94
99570176	62	23	89	91	41	39	96
99570192	75	63	106	107	99	99	123
99570327	76	68	107	109	26	25	92
99570378	66	33	94	96	22	20	88
99570390	67	35	95	97	24	23	90
99570393	70	39	99	101	34	32	93
99570398	73	50	103	105	65	63	105
99570527	61	20	87	90	25	24	89
99570679	82	88	115	116	42	41	97
99570683	41	1	61	64	39	37	96
99570695	81	85	114	115	67	66	107
99570725	77	71	108	110	69	67	107
99570726	72	45	102	104	49	48	99
99570850	47	2	69	72	3	3	70
99570879	83	91	116	118	 	 	 
99570891	79	79	111	113	71	70	109
99570920	58	13	83	86	 	 	 
99570997	996	996	996	996	84	 	115
99571065	70	39	99	101	41	39	96
99571111	76	68	107	109	93	92	120
99571157	86	98	120	121	94	93	122
99571170	73	50	103	105	15	14	85
99571202	75	63	106	107	93	93	123
99571215	79	79	111	113	50	49	100
99571216	71	41	100	102	49	48	100
99571263	78	75	110	111	84	83	115
99571273	64	28	91	93	42	40	96
99571301	64	28	91	93	81	80	113
99571314	78	75	110	111	78	77	112
99571316	74	56	104	106	45	44	96
99571353	84	94	118	119	 	 	 
99571369	83	91	116	118	87	86	116
99571375	58	13	83	86	16	15	85
99571419	63	25	90	92	47	46	99
99571478	55	8	79	82	6	5	79
99571500	79	79	111	113	88	87	117
99571660	68	36	96	98	 	 	 
99571664	63	25	90	92	32	31	92
99571818	61	20	87	90	38	37	94
99571916	72	45	102	104	76	75	111
99571950	77	71	108	110	79	78	112
99572042	69	38	98	100	54	53	102
99572110	63	25	90	92	56	55	102
99572214	81	85	114	115	82	81	113
99572221	68	36	96	98	31	30	93
99572224	71	41	100	102	48	47	99
99572227	59	15	85	87	55	54	102
99572228	67	35	95	97	34	32	94
99572263	76	68	107	109	 	 	 
99572272	63	25	90	92	19	17	86
99572277	73	50	103	105	45	44	98
99572283	48	2	70	73	22	21	87
99572288	60	17	86	88	31	29	91
99572317	66	33	94	96	45	44	98
99572326	63	25	90	92	34	32	93
99572347	78	75	110	111	66	65	107
99572367	86	98	120	121	72	71	108
99572383	996	996	996	996	51	 	100
99572384	80	82	112	114	80	79	113
99572386	52	5	75	78	47	46	99
99572389	74	56	104	106	85	84	116
99572392	75	63	106	107	83	82	114
99572465	78	75	110	111	76	75	111
99572467	74	56	104	106	77	76	111
99572472	61	20	87	90	15	14	87
99572569	75	63	106	107	48	47	99
99572643	56	10	81	83	15	14	84
99572662	85	96	119	120	95	95	125
99572875	52	5	75	78	13	13	83
99572924	64	28	91	93	47	46	99
99572925	57	11	82	84	8	7	78
99572929	76	68	107	109	88	87	118
99572944	83	91	116	118	97	97	122
99572962	71	41	100	102	90	89	120
99572975	78	75	110	111	80	79	113
99572983	74	56	104	106	70	68	107
99572984	76	68	107	109	29	28	91
99572986	78	75	110	111	74	72	109
99572988	55	8	79	82	6	5	78
99573014	71	41	100	102	46	45	97
99573036	78	75	110	111	 	 	 
99573038	86	98	120	121	92	91	119
99573116	79	79	111	113	68	67	107
99573216	76	68	107	109	41	40	97
99573251	75	63	106	107	78	77	111
99573253	77	71	108	110	73	72	109
99573254	69	38	98	100	38	37	94
99573257	59	15	85	87	22	21	87
99573258	79	79	111	113	55	54	102
99573295	72	45	102	104	41	40	97
99573314	63	25	90	92	58	57	104
99573316	78	75	110	111	69	68	108
99573324	996	996	996	996	0	 	38
99573328	996	996	996	996	0	 	29
99573394	73	50	103	105	97	96	126
99573433	996	996	996	996	29	 	92
99573637	64	28	91	93	30	29	93
99573691	74	56	104	106	52	51	101
99573692	59	15	85	87	64	62	105
99573812	75	63	106	107	36	34	95
99573817	73	50	103	105	80	79	113
99573898	75	63	106	107	50	49	100
99573900	76	68	107	109	31	29	92
99573943	76	68	107	109	84	83	115
99573944	74	56	104	106	23	21	90
99573947	74	56	104	106	98	98	129
99573948	80	82	112	114	31	29	91
99573952	86	98	120	121	100	100	130
99573953	83	91	116	118	85	84	115
99573955	67	35	95	97	35	34	94
99573957	66	33	94	96	4	3	71
99573958	84	94	118	119	49	48	100
99573959	72	45	102	104	25	24	89
99573992	85	96	119	120	100	100	131
99573998	76	68	107	109	31	30	94
99573999	72	45	102	104	100	100	130
99574097	56	10	81	83	23	22	88
99574116	66	33	94	96	42	41	97
99574118	80	82	112	114	78	77	111
99574130	65	30	93	95	34	32	94
99574137	58	13	83	86	17	16	85
99574199	67	35	95	97	39	37	96
99574211	84	94	118	119	58	57	103
99574391	996	996	996	996	16	 	87
99574415	64	28	91	93	32	31	92
99574437	58	13	83	86	76	74	110
99574499	73	50	103	105	68	67	107
99574538	81	85	114	115	26	25	91
99574615	66	33	94	96	21	20	87
99574644	72	45	102	104	57	56	103
99574686	83	91	116	118	75	74	111
99574729	73	50	103	105	53	52	101
99574804	85	96	119	120	100	100	136
99574808	85	96	119	120	 	 	 
99574899	76	68	107	109	75	74	111
99574912	55	8	79	82	6	5	77
99575001	76	68	107	109	43	42	96
99575018	78	75	110	111	68	67	108
99575019	74	56	104	106	55	54	102
99575034	62	23	89	91	29	28	91
99575081	79	79	111	113	59	58	104
99575082	79	79	111	113	73	72	109
99575087	68	36	96	98	47	45	99
99575090	78	75	110	111	74	72	110
99575096	79	79	111	113	57	56	103
99575118	86	98	120	121	100	100	125
99575131	71	41	100	102	31	29	92
99575134	86	98	120	121	99	99	122
99575153	86	98	120	121	97	96	120
99575154	61	20	87	90	6	5	76
99575157	84	94	118	119	42	40	97
99575179	86	98	120	121	99	99	121
99575185	62	23	89	91	49	48	100
99575186	61	20	87	90	21	20	87
99575216	72	45	102	104	42	41	97
99575236	74	56	104	106	24	23	91
99575237	75	63	106	107	78	77	111
99575240	76	68	107	109	 	 	 
99575242	74	56	104	106	20	19	88
99575245	74	56	104	106	18	17	85
99575248	74	56	104	106	40	38	96
99575259	72	45	102	104	32	31	92
99575260	78	75	110	111	60	59	105
99575291	77	71	108	110	84	83	115
99575305	80	82	112	114	92	91	120
99575329	996	996	996	996	 	 	 
99575335	55	8	79	82	28	27	91
