AID	EREXITST	ERGRADM	ERGRADY
91715927	A	5	1999
91715930	A	5	1999
91715952	A	5	1999
91715958	92	5	1999
91715983	A	5	2000
91715984	A	5	2000
91715991	A	6	2000
91716018	A	5	2000
91716080	A	92	9992
91716082	A	6	2000
91716092	A	6	1999
91716096	A	92	9992
91716116	A	92	9992
91716158	A	6	2000
91716161	A	92	9992
91716275	A	6	2000
91716281	A	6	1999
91716288	A	6	2000
91716321	A	6	1999
91716484	A	8	1999
91716890	A	6	1999
91716902	A	6	2000
91716903	A	6	2000
91716908	A	6	2000
91716924	A	9	1999
91716952	A	92	9992
91716957	A	6	2000
91717055	A	6	2000
91717067	F	92	9992
91717169	A	5	1999
91717853	A	92	9992
91717862	A	5	1998
91717865	A	5	1998
91717910	A	92	9992
91717916	A	92	9992
91717918	A	92	9992
91718004	A	8	1999
91718025	A	92	9992
91718073	A	92	9992
91718077	A	6	2000
91718080	F	92	9992
91718081	A	8	2000
91718085	A	92	9992
91718109	A	7	2000
91718142	A	6	1999
91718174	A	92	9992
91718195	A	6	2000
91718287	B	5	1999
91718294	A	92	9992
91718302	A	92	9992
91718320	A	5	2000
91718361	A	92	9992
91718368	J	92	9992
91718379	A	6	2000
91718844	A	6	1999
91718886	A	5	2000
91718916	A	6	2000
91718949	A	6	2000
91718960	A	92	9992
91718969	92	92	9992
91719273	A	5	2000
91719375	F	92	9992
91719930	I	5	2000
91719932	A	5	2000
91719934	A	5	2000
91719936	A	5	2000
92316359	A	6	1999
92316856	A	92	9992
92374975	A	6	2000
92374978	A	1	1999
92374979	A	92	9992
92500081	A	6	1996
92500086	A	6	1996
92500119	92	92	9992
92500175	A	12	1995
92500184	A	6	1996
92500219	G	92	9992
92500386	A	6	1996
92500618	E	92	9992
92500914	A	5	1997
92500970	92	92	9992
92501253	A	5	1996
92503208	A	6	1996
92504085	A	92	9992
92504100	A	6	2000
92504229	A	6	1998
92504284	A	6	1998
92504321	A	6	1995
92504421	A	6	1996
92504722	A	6	1996
92504827	A	6	1996
92506022	A	6	1997
92506287	G	92	9992
92506687	A	6	1996
92506844	A	6	1999
92506942	A	6	1995
92506951	A	11	1997
92506966	A	92	9992
92506993	A	6	1995
92506995	A	6	1996
92507858	A	92	9992
92507952	A	6	1998
92508164	A	92	9992
92508223	A	92	9992
92508530	G	92	9992
92508625	A	6	1996
92508726	A	6	1996
92508934	A	6	1995
92540117	A	5	1996
92540351	A	6	1996
92540559	F	92	9992
92540654	G	2	1997
92543208	A	92	9992
92544906	A	6	1996
92546073	J	6	1996
92546995	A	6	1997
92570084	A	6	1996
92570188	G	92	9992
92570236	A	5	1996
92570284	A	6	1998
92570396	A	5	1995
92570411	A	92	9992
92570629	A	6	1999
92570676	A	12	1997
92570678	A	5	1995
92570698	A	5	1995
92570975	A	5	1995
92570978	A	5	1995
92571001	A	6	1995
92571017	A	6	1997
92571019	A	5	1996
92571052	A	5	1996
92571208	A	6	1998
92571270	G	92	9992
92571271	F	92	9992
92571311	A	5	1996
92571476	A	6	1998
92571664	A	6	1997
92571801	A	6	1999
92571867	C	92	9992
92572061	G	92	9992
92572101	A	92	9992
92572104	A	5	1995
92572106	A	5	1998
92572108	A	5	1996
92572119	A	5	1996
92572162	A	5	1998
92572168	A	6	1999
92572169	A	6	1999
92572203	A	5	1997
92572209	A	5	1997
92572217	A	5	1996
92572219	G	92	9992
92572223	92	92	9992
92572226	A	92	9992
92572260	A	6	1999
92572267	A	6	1995
92572283	A	6	1996
92572290	A	5	1998
92572292	A	6	1996
92572298	A	5	1995
92572300	A	5	1997
